latitude,longitude,station_name,street_address,city,state,zip,num_points,operator,usage_cost
37.774142,-122.418547,City of San Francisco - 49 SVN,49 S Van Ness Ave,San Francisco,CA,94102,1,Unknown,Not specified
37.775745,-122.418191,HUDSON PACIFIC 1455 LOBBY 1,1455 Market St,San Francisco,CA,94103,2,Unknown,Not specified
37.774933,-122.41726,HUDSON PACIFIC 1455 STATION 1,1455 Market Street,San Francisco,CA,94103,1,Unknown,Not specified
37.774846,-122.417113,HUDSON PACIFIC 1455 STATION 10,1455 Market Street,San Francisco,CA,94103,1,Unknown,Not specified
37.7767355,-122.4189577,100 Van Ness - Garage - B1,100 Van Ness Avenue,San Francisco,CA,94102,1,Unknown,Not specified
37.775819,-122.417239,NEMA Apartments,1411 Market Street,San Francisco,CA,94103,1,Unknown,Not specified
37.7772738,-122.4192281,150 Van Ness,150 Van Ness Avenue,San Francisco,CA,94102,1,Unknown,Not specified
37.774966,-122.416038,MONOGRAM RES OLUME 2,1401 Mission St,San Francisco,CA,94103,1,Unknown,Not specified
37.77356772,-122.415794,169 11th St,169 11th St,San Francisco,California,94103,1,Unknown,Not specified
37.777522,-122.415426,Dolby Laboratories,1275 Market Street,San Francisco,CA,94103,1,Unknown,Not specified
37.778072,-122.422703,CCSF SFMTA,360 Grove St,San Francisco,CA,94102,2,Unknown,Not specified
37.7749694,-122.4247376,431407 : Avalon Hayes Valley,325 Octavia Street,SF,CA,94102,1,Unknown,Not specified
37.77913284,-122.4182205,Dr Carlton B Goodlett Pl,Dr Carlton B Goodlett Pl,San Francisco,California,94102,2,Unknown,Not specified
37.77913,-122.418,San Francisco City Hall,1 Dr Carlton B Goodlet Pl,San Francisco,CA,94102,3,Unknown,Not specified
37.780078,-122.420544,DGS MAIN,505 Van Ness Ave,San Francisco,CA,94102,1,Unknown,Not specified
37.780122,-122.417725,CCSF-SFMTA CIVIC CTR 4,355 McAllister St,San Francisco,CA,94102,1,Unknown,Not specified
37.7782,-122.41375,Whole Foods San Francisco -Trinity Place,1185 Market St,San Francisco,CA,94103,5,Unknown,Not specified
37.78066,-122.4211,DGS Lot 88,505 Van Ness Ave,San Francisco,CA,94102,1,Unknown,Not specified
37.77859773657566,-122.41259937333808,Soma Grand,1160 Mission St,San Francisco,CA,94103,3,Unknown,Not specified
37.7811644,-122.416844,UC Hastings Larkin Garage,"376 Larkin Street San Francisco, CA",San Francisco,California,94102,3,Unknown,$9.95
37.7783901,-122.412238,ACE Parking,1160 Mission Street,San Francisco,CA,94103,1,Unknown,Not specified
37.781445,-122.421319,"San Francisco, Ca Supercharger",601 Van Ness Avenue,San Francisco,CA,94102,1,Unknown,$0.26/kWh; other tariffs for older cars
37.781583,-122.417563,GSA CW BURTON ST. 2,450 Golden Gate Ave,San Francisco,CA,94102,1,Unknown,Not specified
