poi_id,category,type,name,latitude,longitude
0,parking,amenity,Civic Center Garage,37.7802778,-122.417475
1,parking,amenity,,37.7521732,-122.4177698
2,parking,amenity,City Park,37.7850265,-122.4051953
3,parking,amenity,Metro @ Showplace Square Garage,37.7705267,-122.4030173
4,parking,amenity,,37.7736381,-122.4176245
5,parking,amenity,,37.7861589,-122.4111247
6,parking,amenity,Portsmouth Square Plaza Garage,37.7948565,-122.4051353
7,parking,amenity,,37.7103216,-122.3885667
8,parking,amenity,,37.8011101,-122.4495471
9,parking,amenity,,37.8075165,-122.417873
10,parking,amenity,Saint Mary's Square Garages,37.7921656,-122.4047433
11,parking,amenity,,37.7320836,-122.3913619
12,parking,amenity,Walgreens & Live Fit Gym Underground Parking Garage,37.7666353,-122.4296893
13,parking,amenity,,37.7822595,-122.3987862
14,parking,amenity,,37.782121,-122.4002664
15,parking,amenity,Sutter Place Garage,37.7873447,-122.4225882
16,parking,amenity,,37.8061712,-122.4693456
17,parking,amenity,Fulton Market Garage,37.7761956,-122.4452334
18,parking,amenity,Noe Valley Farmer's Market,37.7514932,-122.4290278
19,parking,amenity,,37.7773455,-122.417493
20,parking,amenity,,37.7762578,-122.4168903
21,parking,amenity,,37.7852738,-122.4308137
22,parking,amenity,,37.7706214,-122.40264
23,parking,amenity,Hotel Tomo,37.7866047,-122.4303908
24,parking,amenity,,37.7975476,-122.4077121
25,parking,amenity,,37.7913097,-122.4214078
26,parking,amenity,Handlery Parking,37.786431,-122.408977
27,parking,amenity,,37.7662961,-122.4057811
28,parking,amenity,,37.798562,-122.4100315
29,parking,amenity,,37.7807095,-122.3915516
30,parking,amenity,,37.7753849,-122.4170538
31,parking,amenity,Public Parking,37.7783412,-122.412281
32,parking,amenity,City Park,37.7902301,-122.4097432
33,parking,amenity,,37.7909885,-122.4110838
34,parking,amenity,Embarcadero Center 1 Parking,37.7946802,-122.4000188
35,parking,amenity,450 Sutter parking,37.7894532,-122.407664
36,parking,amenity,Marriott Valet Parking Entrance,37.7849406,-122.4039179
37,parking,amenity,The Pickwick Garage entrance,37.7830201,-122.4063575
38,parking,amenity,Four Seasons Valet Parking Entrance,37.7862907,-122.4039763
39,parking,amenity,The White House Garage,37.789642,-122.4045009
40,parking,amenity,,37.77521,-122.4168343
41,parking,amenity,Jessie Square Garage,37.7863328,-122.4033457
42,parking,amenity,USA Parking,37.7887057,-122.421408
43,parking,amenity,Gus's Parking,37.7638993,-122.4127834
44,parking,amenity,,37.7946028,-122.4041916
45,parking,amenity,,37.7946435,-122.4022608
46,parking,amenity,,37.7928335,-122.3997375
