latitude,longitude,current_speed,free_flow_speed,confidence,congestion_level
37.6403143,-122.47977811111112,56,56,1,100.0
37.6403143,-122.38062855555556,19,29,1,152.27272727272728
37.6403143,-122.281479,111,111,1,100.0
37.6724806,-122.47977811111112,33,33,1,100.0
37.6724806,-122.38062855555556,52,52,1,100.0
37.7046469,-122.47977811111112,32,41,1,127.58620689655173
37.7046469,-122.38062855555556,109,109,1,100.0
37.7368132,-122.47977811111112,59,59,1,100.0
37.7368132,-122.38062855555556,25,25,1,100.0
37.7689795,-122.47977811111112,37,49,1,132.6530612244898
37.7689795,-122.38062855555556,22,22,1,100.0
37.7689795,-122.281479,24,38,1,159.25925925925927
37.8011458,-122.47977811111112,91,91,1,100.0
37.8011458,-122.38062855555556,31,95,1,307.0866141732283
37.8011458,-122.281479,107,107,1,100.0
37.8333121,-122.47977811111112,87,87,1,100.0
37.8333121,-122.38062855555556,60,101,1,168.34532374100718
37.8333121,-122.281479,32,40,1,124.50980392156863
37.8654784,-122.57892766666667,43,43,1,100.0
37.8654784,-122.47977811111112,37,37,1,100.0
37.8654784,-122.281479,39,39,1,100.0
37.8976447,-122.67807722222223,54,54,1,100.0
37.8976447,-122.57892766666667,43,43,1,100.0
37.8976447,-122.47977811111112,47,47,1,100.0
37.8976447,-122.38062855555556,51,51,1,100.0
37.8976447,-122.281479,40,40,1,100.0
37.929811,-122.77722677777777,66,66,1,100.0
37.929811,-122.67807722222223,53,53,1,100.0
37.929811,-122.47977811111112,99,99,1,100.0
37.929811,-122.38062855555556,81,81,1,100.0
37.929811,-122.281479,44,44,1,100.0
